日付,店舗,商品コード,商品名,税率,伝票番号,取引種別,相手先,数量,単価,売価,原価,原価金額
"2022/09/26","佐々店","0000000001052","Jｴｱｺﾝ M工事費 配送料","10.00","01 - 8086","売上","お得意様掛　佐々","1","3,600","3,600","0","0"
"","佐々店","4904530104428","RAS-J401RT 14畳用 ｴｱｺﾝ","10.00","6365","入庫","大塔店","1","127,091","127,091","66,560","66,560"
"","佐々店","4974019218038","AY-P28TD 10畳 ｴｱｺﾝ","10.00","6366","入庫","大塔店","1","81,637","81,637","47,840","47,840"
"","佐々店","4904530104466","RAS-J251RT 8畳用 ｴｱｺﾝ","10.00","6364","入庫","大塔店","1","99,819","99,819","44,720","44,720"
"","佐々店","4549873152127","RAS-GT25M 8畳 ｴｱｺﾝ","10.00","01 - 8086","売上","お得意様掛　佐々","1","104,364","104,364","50,960","50,960"
"","佐々店","4974019218014","AY-P22TD 6畳ｴｱｺﾝ","10.00","6370","入庫","大塔店","1","63,455","63,455","33,072","33,072"
"","佐々店","4904530104428","RAS-J401RT 14畳用 ｴｱｺﾝ","10.00","6370","入庫","大塔店","1","127,091","127,091","66,560","66,560"
"","佐々店","0000000001052","Jｴｱｺﾝ M工事費 配送料","10.00","01 - 8085","売上返品","お得意様掛　佐々","-1","3,600","-3,600","0","0"
"2022/09/27","佐世保本店","4902901935527","MSZ-LT2822-W-IN 10畳用 ｴｱｺﾝ","0.00","4065","仕入","三菱","1","144,800","144,800","70,200","70,200"
"2022/09/30","佐世保本店","0000000001052","Jｴｱｺﾝ M工事費 配送料","10.00","01 - 2724","売上返品","お得意様掛　本店","-1","3,600","-3,600","0","0"
"","佐世保本店","4573535167747","AN22ZES 6畳 ｴｱｺﾝ","0.00","4078","仕入","ﾀﾞｲｷﾝ","1","99,800","99,800","42,848","42,848"
"","佐世保本店","","","","01 - 2725","売上","橋口　慶弘","1","90,728","90,728","42,848","42,848"
"","佐世保本店","","","","01 - 2724","売上返品","お得意様掛　本店","-1","90,728","-90,728","42,848","-42,848"
"2022/09/29","佐世保本店","4573535167747","AN22ZES 6畳 ｴｱｺﾝ","10.00","01 - 2701","売上","お得意様掛　本店","1","90,728","90,728","42,848","42,848"
"","佐世保本店","0000000001052","Jｴｱｺﾝ M工事費 配送料","10.00","01 - 2701","売上","お得意様掛　本店","1","3,600","3,600","0","0"
"2022/09/30","佐世保本店","0000000001052","Jｴｱｺﾝ M工事費 配送料","10.00","01 - 2725","売上","橋口　慶弘","1","3,600","3,600","0","0"
"2022/09/28","大塔店","4902901935503","MSZ-LT2222-W-IN 6畳用 ｴｱｺﾝ","0.00","9915","出庫","佐々店","-1","95,273","-95,273","48,360","-48,360"
"","大塔店","4549873152219","RAS-GT71M2(W) ｴｱｺﾝ 23畳用","0.00","6756","仕入","日立","1","213,455","213,455","123,760","123,760"
"","大塔店","4902901881015","MSZ-AH2220-W 6畳ｴｱｺﾝ","10.00","6761","仕入","三菱","1","109,800","109,800","43,212","43,212"
"","大塔店","4904530104404","RAS-J562RT(W) 18畳 ｴｱｺﾝ","0.00","9913","出庫","佐世保本店","-1","154,364","-154,364","81,120","-81,120"
"2022/09/26","大塔店","4573535167761","AN28ZES 10畳 ｴｱｺﾝ","0.00","6747","仕入","ﾀﾞｲｷﾝ","1","119,801","119,801","56,368","56,368"
"2022/09/28","大塔店","4549873152127","RAS-GT25M 8畳 ｴｱｺﾝ","0.00","9916","出庫","佐々店","-1","131,637","-131,637","50,960","-50,960"
"","大塔店","4974437184854","AS-D282MTK 10畳 ｴｱｺﾝ","10.00","9920","出庫","佐々店","-1","107,091","-107,091","61,984","-61,984"
"","大塔店","4549873152356","RAS-HT71M2 23畳 ｴｱｺﾝ","0.00","9917","出庫","佐々店","-1","227,091","-227,091","118,456","-118,456"